Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
United States,USA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,12.756295073002,12.6049538802777,12.4353763769804,12.2408284111277,12.0145758307373,11.7498844838268,11.309448518998,10.6730029423263,10.0093748880401,9.48739149036763,9.27587988353719,9.36462744857706,9.01055428019472,8.74620817680451,8.5101265108009,8.19074183499752,7.40835009300858,7.79040584360488,7.8220065111125,7.17602147949022,7.81485752365112,..,..,..,..
United States,USA,"Plant species (higher), threatened",EN.HPT.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,510,..,..,..,688,..,..
United States,USA,"Bird species, threatened",EN.BIR.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91,..,..,..,87,..,..
United States,USA,"Fish species, threatened",EN.FSH.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,251,..,..,..,283,..,..
United States,USA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,21.0118753202743,20.6255077855762,19.9103793387111,19.9681657791826,20.0815597947275,19.9249914215479,19.4048177077015,19.4956606869752,18.7089026291301,17.1890632001903,17.847084306938,17.0203888981196,16.1854221004814,16.495975221911,16.4248953102317,15.9501022949136,15.5045482189269,15.1847127213968,15.5796456645972,15.0439662080505,13.4715821678248,14.3161154347115,14.4177148825165,13.7119419860139,13.6195685039144
United States,USA,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,85.8991510408803,86.3861771834025,86.2808086234009,86.3108491734385,86.1575607388529,86.0526277747696,85.6625948343997,85.63845777016,85.005107144923,84.1951199163177,84.1233868138427,83.8876736758574,83.9446029612371,82.9728876992826,83.4019897520666,82.3258162759788,0,0,0,0,0,0,0,0,..
United States,USA,"Mammal species, threatened",EN.MAM.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40,..,..,..,43,..,..
United States,USA,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,13.6,13.1,13.1,13,13.5,13,13,11.8,13,13,12.9,12.9
United States,USA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,13.5,12,20.1,26.3,26.6,26.3,26.3,23.9,15.9,15.9,15.9,15.8
United States,USA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,5.4,4.7,4.8,5.3,5.5,5.8,6.4,6.3,6.8,7.3,7.4,8.4,8.5,8.9,9,8.9,9.3,9.7,9.9,10.2,11,10.9,..,..,..
China,CHN,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.694583211727,55.7578718644915,55.8211320658973,55.8843892938216,55.9476447513305,56.0109031839269,56.0741598447602,56.1374176962452,56.2006719746855,56.2639250438662,56.1834730812931,56.1036602181182,56.0235278052443,55.9433953923703,55.8632629794963,55.7831305666223,55.7030573453299,55.6228503623161,55.54274989588,55.462649429444,55.4526368711394,55.4426243128349,55.4326117545304,55.4326117545304,..
